Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
4	110	A	1	3	4	3.13E-01	4	6.00E-01
4	111	A	3	4	2	2.65E-01	2	5.00E-01
4	112	B	4	2	1	3.15E-01	1	6.00E-01
4	113	A	2	1	4	2.78E-01	4	2.50E-01
4	114	A	1	4	3	3.24E-01	3	5.00E-01
4	115	A	4	3	2	2.30E-01	2	5.50E-01
4	116	A	3	2	4	3.17E-01	4	3.50E-01
4	117	B	2	4	3	3.19E-01	3	5.50E-01
4	118	A	4	3	2	2.59E-01	2	2.00E-01
4	119	A	3	2	4	2.64E-01	4	3.50E-01
4	120	A	2	4	1	2.94E-01	1	2.50E-01
5	1	A	2	3	1	3.30E-01	1	2.00E-01
5	2	A	3	1	2	2.73E-01	3	2.50E-01
5	3	A	1	2	1	2.74E-01	2	2.00E-01
5	4	A	2	1	4	2.83E-01	4	3.00E-01
5	5	B	1	4	2	2.63E-01	2	3.50E-01
5	6	A	4	2	3	2.88E-01	3	5.50E-01
5	7	A	2	3	1	2.30E-01	1	5.50E-01
5	8	A	3	1	2	3.09E-01	2	3.00E-01
5	9	A	1	2	1	3.38E-01	2	3.00E-01
5	10	A	2	1	4	2.65E-01	4	6.00E-01
